t,T_L,Te,v_ds,v_qs,omega_rpm,omega_sync_rpm,ids,iqs
1.494,0.0,0.15696070185581773,326.59863237109045,0.0,1499.799992951583,1500.0,0.33334217340371874,-14.573161747785527
1.495,0.0,0.15697892261703805,326.59863237109045,0.0,1499.7999503389337,1500.0,0.3333474529367351,-14.573155667613994
1.496,0.0,0.15700105871979186,326.59863237109045,0.0,1499.7999174095153,1500.0,0.33335401489971705,-14.573149050810416
1.497,0.0,0.1570258508372948,326.59863237109045,0.0,1499.7998957377463,1500.0,0.3333614836340841,-14.573142261589442
1.498,0.0,0.15705192187402295,326.59863237109045,0.0,1499.7998862656302,1500.0,0.3333694422282334,-14.573135666365825
1.499,0.0,0.15707785288372694,326.59863237109045,0.0,1499.7998892645685,1500.0,0.3333774556094011,-14.573129614115789
1.5,5.0,0.159022737367848,326.59863237109045,0.0,1499.561203160847,1500.0,0.3340007891107806,-14.573112570417711
1.5010000000000001,5.0,0.3657457300767985,326.59863237109045,0.0,1497.211597293644,1500.0,0.4001315017961149,-14.571620365340264
1.502,5.0,0.8358269680947475,326.59863237109045,0.0,1495.0279211883835,1500.0,0.5500163896661618,-14.566429541007002
1.5030000000000001,5.0,1.471494490220654,326.59863237109045,0.0,1493.1118486200678,1500.0,0.7519177656866695,-14.554685720624173
1.504,5.0,2.1939884177010125,326.59863237109045,0.0,1491.5228462375003,1500.0,0.9804749545937242,-14.533377029554922
1.5050000000000001,5.0,2.9436343534231932,326.59863237109045,0.0,1490.2873770111075,1500.0,1.216711172756017,-14.50046032454016
1.506,5.0,3.6778009572325066,326.59863237109045,0.0,1489.407589543964,1500.0,1.4473223073330457,-14.455491580602578
1.5070000000000001,5.0,4.367742405103835,326.59863237109045,0.0,1488.868729820926,1500.0,1.6635850823214349,-14.399831531827154
1.508,5.0,4.995111904896239,326.59863237109045,0.0,1488.644939732732,1500.0,1.8601541643456159,-14.33651691577387
1.5090000000000001,5.0,5.5487059796051685,326.59863237109045,0.0,1488.7034278979334,1500.0,2.0339419633547884,-14.269895338334127
1.51,5.0,6.021786850267834,326.59863237109045,0.0,1489.0072139022925,1500.0,2.1832016788605486,-14.205119424324934
1.5110000000000001,5.0,6.41014776946372,326.59863237109045,0.0,1489.5167679359804,1500.0,2.306870355738972,-14.147585895418647
1.512,5.0,6.710941782576358,326.59863237109045,0.0,1490.1909104334,1500.0,2.404178061424486,-14.10239020817966
1.5130000000000001,5.0,6.922190624910444,326.59863237109045,0.0,1490.9873196996814,1500.0,2.474493042277782,-14.07384998709695
1.514,5.0,7.042825537958321,326.59863237109045,0.0,1491.862938754684,1500.0,2.517350333214734,-14.065132890334453
1.5150000000000001,5.0,7.073080966638209,326.59863237109045,0.0,1492.7744932503197,1500.0,2.5326010675110155,-14.078008363832897
1.516,5.0,7.015058870512962,326.59863237109045,0.0,1493.679245096985,1500.0,2.5206192847841002,-14.11272897295777
1.5170000000000001,5.0,6.873298576450703,326.59863237109045,0.0,1494.5360228391821,1500.0,2.4825097453308738,-14.16803609558383
1.518,5.0,6.6552177971597555,326.59863237109045,0.0,1495.306497923378,1500.0,2.42027158650899,-14.24127672596189
1.5190000000000001,5.0,6.371328578938362,326.59863237109045,0.0,1495.956620759912,1500.0,2.3368863503492863,-14.328612695113696
1.52,5.0,6.0351726099392025,326.59863237109045,0.0,1496.4580942273094,1500.0,2.236313126476544,-14.425300337145547
1.5210000000000001,5.0,5.662959763016978,326.59863237109045,0.0,1496.7897452682246,1500.0,2.123386889802435,-14.526017076948007
1.522,5.0,5.272929205091605,326.59863237109045,0.0,1496.9386562015773,1500.0,2.003627591761287,-14.625211202609002
1.5230000000000001,5.0,4.884481891373239,326.59863237109045,0.0,1496.900933920859,1500.0,1.8829765831686045,-14.717451940455089
1.524,5.0,4.517155383068392,326.59863237109045,0.0,1496.682024058275,1500.0,1.7674832114309407,-14.79775870227433
1.5250000000000001,5.0,4.189525789722827,326.59863237109045,0.0,1496.2965147183106,1500.0,1.662967898140526,-14.861890926472345
1.526,5.0,3.9181268592697824,326.59863237109045,0.0,1495.7674164667694,1500.0,1.5746888137793311,-14.906583215196989
1.5270000000000001,5.0,3.71647300690958,326.59863237109045,0.0,1495.1249477970623,1500.0,1.5070377250538545,-14.929714379849745
1.528,5.0,3.5942622018885544,326.59863237109045,0.0,1494.404894416999,1500.0,1.4632871125875837,-14.930403388954227
1.5290000000000001,5.0,3.55681755723828,326.59863237109045,0.0,1493.6466430785824,1500.0,1.4454057366571749,-14.909029833613435
1.53,5.0,3.6048051571704174,326.59863237109045,0.0,1492.8910138009926,1500.0,1.4539540030270666,-14.867181096974889
1.5310000000000001,5.0,3.7342424078536998,326.59863237109045,0.0,1492.178026731135,1500.0,1.4880642899009415,-14.80753262264833
1.532,5.0,3.9367883726118365,326.59863237109045,0.0,1491.5447411891212,1500.0,1.545505344969241,-14.733671233799564
1.5330000000000001,5.0,4.200287289240352,326.59863237109045,0.0,1491.0232953856473,1500.0,1.6228243807246998,-14.649874138652526
1.534,5.0,4.509520417088156,326.59863237109045,0.0,1490.639257515915,1500.0,1.715555917627795,-14.560857947771032
1.5350000000000001,5.0,4.847110513353719,326.59863237109045,0.0,1490.4103747071008,1500.0,1.818482960490525,-14.47151271241527
1.536,5.0,5.194517851646534,326.59863237109045,0.0,1490.3457781982383,1500.0,1.9259338337134493,-14.386635759346673
1.5370000000000001,5.0,5.533066358413748,326.59863237109045,0.0,1490.4456736963018,1500.0,2.0320969254416106,-14.31067910421149
1.538,5.0,5.844942229291295,326.59863237109045,0.0,1490.7015172863003,1500.0,2.131335592858538,-14.247522664321421
1.5390000000000001,5.0,6.114114089461098,326.59863237109045,0.0,1491.096651263111,1500.0,2.2184864003102307,-14.200283549031148
1.54,5.0,6.327132137087221,326.59863237109045,0.0,1491.6073518903834,1500.0,2.2891255180061334,-14.171169535772288
1.5410000000000001,5.0,6.473772699796957,326.59863237109045,0.0,1492.2042229124486,1500.0,2.3397903291233466,-14.161382548685548
1.542,5.0,6.54750351922471,326.59863237109045,0.0,1492.8538547551163,1500.0,2.368145931069691,-14.171075604820336
1.5430000000000001,5.0,6.545753527356424,326.59863237109045,0.0,1493.5206596054497,1500.0,2.3730891580722253,-14.19936430702901
1.544,5.0,6.469978910360712,326.59863237109045,0.0,1494.1687867432563,1500.0,2.3547859079265443,-14.2443915576019
1.5450000000000002,5.0,6.325525119446953,326.59863237109045,0.0,1494.7640204622603,1500.0,2.314640846533674,-14.303441766664967
1.546,5.0,6.121292494322077,326.59863237109045,0.0,1495.275564661511,1500.0,2.2552019027602963,-14.373098486311125
1.5470000000000002,5.0,5.869221512535608,326.59863237109045,0.0,1495.6776238303548,1500.0,2.1800052433755392,-14.449437204422969
1.548,5.0,5.583622319966956,326.59863237109045,0.0,1495.9506998565964,1500.0,2.09336949360515,-14.528243106574806
1.5490000000000002,5.0,5.280381771464317,326.59863237109045,0.0,1496.082537923979,1500.0,2.00015067682881,-14.605242110489291
1.55,5.0,4.976089054796788,326.59863237109045,0.0,1496.0686725515782,1500.0,1.905471507723567,-14.676332550175415
1.5510000000000002,5.0,4.687127222797718,326.59863237109045,0.0,1495.912546014862,1500.0,1.8144401156529693,-14.737804670020244
1.552,5.0,4.42878171135167,326.59863237109045,0.0,1495.6251949971977,1500.0,1.731873861327016,-14.786535669676432
1.5530000000000002,5.0,4.214417408383085,326.59863237109045,0.0,1495.2245259661654,1500.0,1.662043557973547,-14.820149436510121
1.554,5.0,4.054772604864451,326.59863237109045,0.0,1494.7342237678745,1500.0,1.6084521099343976,-14.837132250163886
1.5550000000000002,5.0,3.9574111755951495,326.59863237109045,0.0,1494.1823594827024,1500.0,1.5736594088574236,-14.83689849822489
1.556,5.0,3.9263640489593694,326.59863237109045,0.0,1493.5997809849487,1500.0,1.5591624297496793,-14.819803589591025
1.5570000000000002,5.0,3.9619783031086726,326.59863237109045,0.0,1493.018381511991,1500.0,1.5653360584174563,-14.78710453627174
1.558,5.0,4.060978251356531,326.59863237109045,0.0,1492.4693469868587,1500.0,1.5914365112808502,-14.740871828069933
1.5590000000000002,5.0,4.216728968193354,326.59863237109045,0.0,1491.9814815663678,1500.0,1.6356655447538766,-14.683859004639134
1.56,5.0,4.41968012006956,326.59863237109045,0.0,1491.5797032426506,1500.0,1.6952902464332495,-14.61933854568694
1.5610000000000002,5.0,4.657957733710148,326.59863237109045,0.0,1491.283788199833,1500.0,1.7668102674032895,-14.550914234458334
1.562,5.0,4.918064336361142,326.59863237109045,0.0,1491.1074253224003,1500.0,1.846162050604346,-14.482320961789396
1.5630000000000002,5.0,5.185644002103886,326.59863237109045,0.0,1491.057622295606,1500.0,1.928948025809258,-14.417223058144312
1.564,5.0,5.4462681053084445,326.59863237109045,0.0,1491.134483689266,1500.0,2.0106779045518657,-14.35902175225705
1.5650000000000002,5.0,5.686199570086256,326.59863237109045,0.0,1491.331360690446,1500.0,2.087009090913034,-14.310681370491006
1.566,5.0,5.893097475433499,326.59863237109045,0.0,1491.635352899519,1500.0,2.1539737593803134,-14.27458253129798
1.5670000000000002,5.0,6.056629339702429,326.59863237109045,0.0,1492.0281256570142,1500.0,2.208181249549957,-14.252408964026227
1.568,5.0,6.168964648835326,326.59863237109045,0.0,1492.486992238458,1500.0,2.2469859925282543,-14.245072779794807
1.5690000000000002,5.0,6.225129755898879,326.59863237109045,0.0,1492.9861991957468,1500.0,2.26861312209765,-14.252681110691464
1.57,5.0,6.223210907981958,326.59863237109045,0.0,1493.498345221012,1500.0,2.2722361491100225,-14.274545061739497
1.5710000000000002,5.0,6.164398772602091,326.59863237109045,0.0,1493.9958591687812,1500.0,2.258003509815211,-14.309229930674965
1.572,5.0,6.052874476898005,326.59863237109045,0.0,1494.452461294498,1500.0,2.2270133570614425,-14.354643690665606
1.5730000000000002,5.0,5.895543902021916,326.59863237109045,0.0,1494.8445333797927,1500.0,2.18123855862945,-14.408158861247749
1.574,5.0,5.701633788497999,326.59863237109045,0.0,1495.1523282626436,1500.0,2.123406396754012,-14.466761191289972
1.5750000000000002,5.0,5.482169964130995,326.59863237109045,0.0,1495.3609573863012,1500.0,2.056839809310362,-14.527217139302005
1.576,5.0,5.249364392651677,326.59863237109045,0.0,1495.4611062293998,1500.0,1.985269047374274,-14.58625106400817
1.5770000000000002,5.0,5.015943293040209,326.59863237109045,0.0,1495.4494415986394,1500.0,1.9126242158080191,-14.64072243073878
1.578,5.0,4.794452738675121,326.59863237109045,0.0,1495.3286912248104,1500.0,1.8428201955698424,-14.687793276215864
1.5790000000000002,5.0,4.596580357481003,326.59863237109045,0.0,1495.1073941031432,1500.0,1.7795458287303672,-14.725076700065577
1.58,5.0,4.432531575791992,326.59863237109045,0.0,1494.7993385178243,1500.0,1.7260689314743984,-14.750758263009716
1.5810000000000002,5.0,4.310496045805119,326.59863237109045,0.0,1494.4227224808812,1500.0,1.6850676898524084,-14.763683812780512
1.582,5.0,4.2362345114694575,326.59863237109045,0.0,1493.9990871428452,1500.0,1.6584973460826165,-14.763409320812466
1.5830000000000002,5.0,4.212808739372775,326.59863237109045,0.0,1493.5520864331666,1500.0,1.6474989101745579,-14.750210644491153
1.584,5.0,4.240467874926738,326.59863237109045,0.0,1493.1061648265836,1500.0,1.6523540852200809,-14.72505355365611
1.5850000000000002,5.0,4.316694475542144,326.59863237109045,0.0,1492.6852191099538,1500.0,1.6724878548944178,-14.68952669297528
1.586,5.0,4.436403400381977,326.59863237109045,0.0,1492.31131914937,1500.0,1.706517437939964,-14.645742226070567
1.587,5.0,4.592277544591401,326.59863237109045,0.0,1492.0035571525377,1500.0,1.7523437471089145,-14.596210588987734
1.588,5.0,4.775216795894683,326.59863237109045,0.0,1491.7770853818554,1500.0,1.8072792544951404,-14.54369698164958
1.589,5.0,4.97487104297013,326.59863237109045,0.0,1491.6423895792864,1500.0,1.8682043796265053,-14.49106790821467
1.59,5.0,5.1802247986121435,326.59863237109045,0.0,1491.604830562485,1500.0,1.9317432560795291,-14.441136249196068
1.591,5.0,5.380199984081799,326.59863237109045,0.0,1491.664470634167,1500.0,1.9944490281514475,-14.396513054935602
1.592,5.0,5.564244414700211,326.59863237109045,0.0,1491.8161856373663,1500.0,2.0529886741407735,-14.359473560363496
1.593,5.0,5.722876156267515,326.59863237109045,0.0,1492.0500485621226,1500.0,2.1043177098970562,-14.331843913733822
1.594,5.0,5.848157760639804,326.59863237109045,0.0,1492.3519572439957,1500.0,2.1458359383355785,-14.314913865048295
