t,omega_ref_rpm,omega_rpm,omega_m,omega_e,ids,iqs,id_ref,iq_ref,iq_unsat,aw,Te,T_L,vd,vq,psi_r_mag,mpc_status
1.405,1500.0,1500.000428285601,157.0796775294529,314.51521888487093,4.999999921445043,0.15547239794870094,5.0,0.15547226731227823,0.15547226731227823,0.0,0.15707970367006827,0.0,1.982137354695387,112.19232454593791,0.34650006224285135,1.0
1.4060000000000001,1500.0,1500.00042829724,157.07967753067174,314.5152188742099,4.999999922342917,0.1554723918868419,5.0,0.15547226283338145,0.15547226283338145,0.0,0.15707970337998894,0.0,1.982137501142894,112.1923243139319,0.3465000614860825,1.0
1.407,1500.0,1500.0004283087492,157.07967753187697,314.51521886366936,4.999999923230525,0.15547238589367082,5.0,0.15547225840405782,0.15547225840405782,0.0,0.15707970309312988,0.0,1.9821376459176059,112.19232408473518,0.34650006073847994,1.0
1.408,1500.0,1500.0004283201297,157.07967753306875,314.51521885324826,4.999999924107979,0.15547237996845661,5.0,0.15547225402380405,0.15547225402380405,0.0,0.1570797028095031,0.0,1.982137789037705,112.19232385831388,0.34650005999993305,1.0
1.409,1500.0,1500.0004283313835,157.07967753424725,314.51521884294516,4.999999924975428,0.15547237411042467,5.0,0.15547224969207313,0.15547224969207313,0.0,0.15707970252906792,0.0,1.982137930522696,112.1923236346345,0.3465000592703324,1.0
1.41,1500.0,1500.0004283425126,157.07967753541269,314.5152188327588,4.999999925832931,0.15547236831877898,5.0,0.15547224540829777,0.15547224540829777,0.0,0.15707970225175397,0.0,1.9821380703916112,112.19232341366389,0.3465000585495701,1.0
1.411,1500.0,1500.000428353517,157.07967753656507,314.5152188226874,4.999999926680663,0.15547236259266334,5.0,0.15547224117183686,0.15547224117183686,0.0,0.15707970197742158,0.0,1.9821382086628487,112.19232319536921,0.3465000578375394,1.0
1.412,1500.0,1500.0004283643989,157.0796775377046,314.51521881273015,4.999999927518672,0.1554723569314732,5.0,0.15547223698230722,0.15547223698230722,0.0,0.1570797017061769,0.0,1.9821383453535417,112.19232297971841,0.3465000571341349,1.0
1.413,1500.0,1500.0004283751593,157.07967753883145,314.5152188028856,4.999999928347132,0.15547235133447695,5.0,0.1554722328391981,0.1554722328391981,0.0,0.15707970143798983,0.0,1.9821384804829463,112.19232276667952,0.3465000564392524,1.0
1.414,1500.0,1500.0004283858002,157.07967753994575,314.51521879315254,4.999999929166105,0.15547234580091962,5.0,0.15547222874196445,0.15547222874196445,0.0,0.1570797011727985,0.0,1.982138614068679,112.19232255622096,0.346500055752789,1.0
1.415,1500.0,1500.0004283963217,157.07967754104757,314.5152187835295,4.999999929975725,0.15547234033004848,5.0,0.1554722246900689,0.1554722246900689,0.0,0.15707970091053558,0.0,1.9821387461283622,112.19232234831156,0.34650005507464327,1.0
1.416,1500.0,1500.0004284067265,157.07967754213715,314.51521877401564,4.999999930776078,0.1554723349212499,5.0,0.15547222068310382,0.15547222068310382,0.0,0.15707970065126603,0.0,1.9821388766789947,112.19232214292069,0.34650005440471454,1.0
1.417,1500.0,1500.0004284170157,157.07967754321461,314.5152187646095,4.999999931567327,0.15547232957372983,5.0,0.15547221672048456,0.15547221672048456,0.0,0.15707970039486507,0.0,1.9821390057380703,112.19232194001792,0.3465000537429036,1.0
1.418,1500.0,1500.00042842719,157.07967754428006,314.5152187553096,4.999999932349483,0.15547232428676416,5.0,0.15547221280168425,0.15547221280168425,0.0,0.1570797001412708,0.0,1.9821391333229883,112.19232173957296,0.34650005308911247,1.0
1.419,1500.0,1500.0004284372505,157.07967754533362,314.515218746115,4.99999993312273,0.15547231905968167,5.0,0.15547220892623734,0.15547220892623734,0.0,0.1570796998904671,0.0,1.9821392594497516,112.19232154155632,0.3465000524432441,1.0
1.42,1500.0,1500.0004284471993,157.07967754637545,314.51521873702444,4.999999933887106,0.15547231389182714,5.0,0.15547220509368923,0.15547220509368923,0.0,0.15707969964244653,0.0,1.9821393841362103,112.19232134593861,0.3465000518052031,1.0
1.421,1500.0,1500.000428457037,157.07967754740565,314.5152187280367,4.999999934642773,0.15547230878252774,5.0,0.1554722013035631,0.1554722013035631,0.0,0.1570796993971767,0.0,1.9821395073972505,112.192321152691,0.3465000511748948,1.0
1.422,1500.0,1500.000428466765,157.07967754842437,314.51521871915077,4.9999999353897895,0.15547230373115442,5.0,0.15547219755542216,0.15547219755542216,0.0,0.1570796991546616,0.0,1.9821396292507862,112.19232096178476,0.34650005055222577,1.0
1.423,1500.0,1500.0004284763845,157.07967754943172,314.5152187103654,4.9999999361282805,0.15547229873702972,5.0,0.1554721938487822,0.1554721938487822,0.0,0.15707969891484944,0.0,1.9821397497122015,112.19232077319162,0.34650004993710387,1.0
1.424,1500.0,1500.000428485897,157.07967755042785,314.51521870167943,4.999999936858321,0.15547229379952512,5.0,0.15547219018320613,0.15547219018320613,0.0,0.1570796986777305,0.0,1.9821398687973508,112.19232058688372,0.3465000493294378,1.0
1.425,1500.0,1500.0004284953036,157.0796775514129,314.515218693092,4.999999937580007,0.1554722889179881,5.0,0.15547218655822684,0.15547218655822684,0.0,0.15707969844326386,0.0,1.9821399865217209,112.19232040283349,0.3465000487291375,1.0
1.426,1500.0,1500.000428504605,157.07967755238695,314.5152186846015,4.999999938293465,0.15547228409169844,5.0,0.1554721829733111,0.1554721829733111,0.0,0.15707969821133327,0.0,1.9821401029013526,112.19232022101349,0.34650004813611407,1.0
1.427,1500.0,1500.0004285138032,157.07967755335017,314.5152186762072,4.999999938998767,0.1554722793201292,5.0,0.15547217942811223,0.15547217942811223,0.0,0.15707969798201055,0.0,1.9821402179514336,112.19232004139693,0.3465000475502796,1.0
1.428,1500.0,1500.0004285228981,157.0796775543026,314.51521866790785,4.999999939695975,0.15547227460262208,5.0,0.15547217592215223,0.15547217592215223,0.0,0.15707969775522818,0.0,1.9821403316868182,112.19231986395715,0.3465000469715471,1.0
1.429,1500.0,1500.0004285318919,157.07967755524444,314.5152186597025,4.9999999403852495,0.15547226993861343,5.0,0.15547217245505002,0.15547217245505002,0.0,0.15707969753100726,0.0,1.9821404441228752,112.19231968866794,0.34650004639983106,1.0
1.43,1500.0,1500.0004285407852,157.07967755617574,314.51521865159,4.999999941066653,0.1554722653274555,5.0,0.15547216902633063,0.15547216902633063,0.0,0.15707969730927746,0.0,1.9821405552742897,112.19231951550319,0.3465000458350464,1.0
1.431,1500.0,1500.0004285495797,157.0796775570967,314.5152186435695,4.999999941740234,0.15547226076862503,5.0,0.15547216563564767,0.15547216563564767,0.0,0.1570796970900875,0.0,1.9821406651559819,112.19231934443742,0.34650004527710965,1.0
1.432,1500.0,1500.0004285582756,157.07967755800735,314.5152186356397,4.999999942406141,0.15547225626145467,5.0,0.1554721622825037,0.1554721622825037,0.0,0.1570796968733339,0.0,1.9821407737821326,112.19231917544515,0.3465000447259378,1.0
1.433,1500.0,1500.0004285668747,157.07967755890783,314.51521862779975,4.999999943064435,0.15547225180538662,5.0,0.1554721589665142,0.1554721589665142,0.0,0.15707969665901753,0.0,1.9821408811675654,112.19231900850137,0.3465000441814492,1.0
1.434,1500.0,1500.000428575379,157.07967755979837,314.51521862004876,4.999999943715191,0.1554722473998537,5.0,0.15547215568727776,0.15547215568727776,0.0,0.1570796964471233,0.0,1.9821409873254916,112.1923188435814,0.3465000436435632,1.0
1.435,1500.0,1500.0004285837877,157.07967756067896,314.5152186123852,4.999999944358519,0.1554722430441416,5.0,0.15547215244424495,0.15547215244424495,0.0,0.15707969623748114,0.0,1.982141092271065,112.19231868066052,0.3465000431121998,1.0
1.436,1500.0,1500.0004285921025,157.07967756154966,314.5152186048082,4.999999944994482,0.15547223873775687,5.0,0.15547214923708608,0.15547214923708608,0.0,0.15707969603013805,0.0,1.9821411960177953,112.1923185197147,0.3465000425872804,1.0
1.437,1500.0,1500.0004286003248,157.07967756241072,314.51521859731724,4.999999945623202,0.15547223448028286,5.0,0.15547214606554932,0.15547214606554932,0.0,0.15707969582521197,0.0,1.982141298578894,112.19231836072031,0.346500042068727,1.0
1.438,1500.0,1500.0004286084552,157.07967756326212,314.51521858991094,4.999999946244704,0.1554722302709908,5.0,0.15547214292906517,0.15547214292906517,0.0,0.15707969562250007,0.0,1.9821413999683175,112.19231820365349,0.3465000415564628,1.0
1.439,1500.0,1500.000428616495,157.07967756410403,314.51521858258855,4.999999946859112,0.15547222610947595,5.0,0.15547213982739033,0.15547213982739033,0.0,0.1570796954221201,0.0,1.9821415001994591,112.1923180484912,0.34650004105041177,1.0
1.44,1500.0,1500.000428624445,157.07967756493656,314.5152185753492,4.9999999474665,0.155472221995163,5.0,0.15547213676010255,0.15547213676010255,0.0,0.15707969522401202,0.0,1.9821415992854514,112.19231789521034,0.3465000405504987,1.0
1.441,1500.0,1500.0004286323071,157.0796775657599,314.515218568192,4.999999948066966,0.15547221792749885,5.0,0.15547213372680616,0.15547213372680616,0.0,0.15707969502813202,0.0,1.9821416972393213,112.19231774378817,0.3465000400566494,1.0
1.442,1500.0,1500.0004286400815,157.07967756657402,314.5152185611154,4.999999948660535,0.1554722139057808,5.0,0.15547213072694158,0.15547213072694158,0.0,0.15707969483427972,0.0,1.9821417940745159,112.19231759420195,0.34650003956879066,1.0
1.443,1500.0,1500.0004286477688,157.07967756737904,314.51521855411875,4.999999949247355,0.15547220992963534,5.0,0.15547212776029185,0.15547212776029185,0.0,0.1570796946425811,0.0,1.9821418898030698,112.19231744642973,0.3465000390868499,1.0
1.444,1500.0,1500.0004286553713,157.07967756817516,314.5152185472016,4.999999949827426,0.15547220599858874,5.0,0.15547212482653733,0.15547212482653733,0.0,0.15707969445305534,0.0,1.982141984438046,112.19231730044969,0.3465000386107558,1.0
1.445,1500.0,1500.0004286628878,157.0796775689623,314.5152185403623,4.9999999504008965,0.1554722021119863,5.0,0.1554721219251605,0.1554721219251605,0.0,0.1570796942655332,0.0,1.9821420779917482,112.1923171562399,0.34650003814043756,1.0
